,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
20,20,20,20,20,2 Bedroom Condominium for rent in Greenhills San Juan City Metro Manila,"Philippines, San Juan, Greenhills Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 55,000",Monthly,2,2,128.0,el,4.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,21,21,21,21,"2 Bedroom 1 Bathroom Eisenhower, San Juan Greenhills","Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 55,000",Monthly,2,2,98.0,Eisenhower Condominium,4.91,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,22,22,22,22,San Juan 3 beds 2 baths for rent,"Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 80,000",Monthly,3,2,170.0,Goldhill Tower,4.91,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,"Annapolis Wilshire Plaza Condo, 87.5 sqm with 3 bedrooms 3 T&B","Annapolis Wilshire Plaza Condominium, Greenhills, Annapolis, San Juan, NCR, Philippines Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 35,000",,3,3,88.0,Annapolis Wilshire Plaza,4.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,24,24,24,24,2BR for rent at Viridian in greenhills,"Philippines, 1503, San Juan, Connecticut St Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 165,000",Monthly,2,2,152.0,Viridian in Greenhills,4.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,25,25,25,25,For rent studio unit at Greenhills Shopping Center,"Annapolis St. Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 25,000",Monthly,1,1,20.0,Chimes Greenhills,4.91,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,26,26,26,26,Semi Furnished 2 bedroom Unit at Viridian Greenhills up for Lease,"Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 80,000",Monthly,2,2,121.0,Viridian in Greenhills,4.91,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
27,27,27,27,27,Baron 3 Gardens 1 Bedroom for lease Brand New,"san juan Addition Hills, San Juan",Metro Manila,San Juan,Addition Hills,"₱ 30,000",,1,1,46.0,Baron 3 Gardens,4.51,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,28,28,28,28,"For Rent: 2-BR, 81 Xavier Residences in San Juan","81 Xavier Street, San Juan Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 50,000",Monthly,2,1,121.0,81 Xavier Residences,4.91,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,29,29,29,29,"The Viridian in Greenhills, 3 bedroom for rent","The Viridian Connecticut st. Cor. Missouri St. Greenhills San juan City Metro Manila Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 170,000",Monthly,3,3,197.0,Viridian in Greenhills,4.91,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
30,30,30,30,30,Greenhills 3 Bedroom Condo Unit,"Connecticut Street and Missouri Street at Greenhills, San Juan City Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 150,000",Monthly,3,3,143.0,Viridian in Greenhills,4.91,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
31,31,31,31,31,"Three Bedroom Condo Unit For Rent in Connecticut St, San Juan, Metro Manila","Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 140,000",Monthly,3,3,127.0,Viridian in Greenhills,4.91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,32,32,32,32,3 Bedroom Condominium For Rent In Greenhills San Juan City Metro Manila,"Philippines, San Juan, Greenhills Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 59,000",Monthly,3,3,132.39,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,33,33,33,33,CONDO UNIT FOR RENT: Continental Plaza Condominiums (Greenhills San Juan),"Unit 207 Continental Plaza Condominiums 45 Annapolis street, Greenhills San Juan Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 55,000",Monthly,2,4,133.36,Continental Plaza,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,34,34,For Rent!! 3 Bedroom Penthouse in The Viridian Greenhills,"Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 260,000",Monthly,3,3,320.0,Viridian in Greenhills,4.91,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
35,35,35,35,35,"The Viridian in Greenhills, 43 sqm, Studio, furnished unit with balcony for rent","Connecticut street, Greenhills, San Juan, Metro Manila Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 40,000",Monthly,1,1,43.0,Viridian in Greenhills,4.91,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
36,36,36,36,36,"Viridian in Greenhills, Fully Furnished 2-BR for Rent","Philippines, San Juan, Connecticut St Greenhills, San Juan",Metro Manila,San Juan,Greenhills,"₱ 140,000",Monthly,2,3,127.0,Viridian in Greenhills,4.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,37,37,37,37,2 bedroom condo-midrise building at the heart of 3 cities,"Addition Hills, San Juan",Metro Manila,San Juan,Addition Hills,"₱ 35,000",Monthly,2,2,76.0,Baron 3 Gardens,4.51,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
